Country,Region,Happiness Score - 2020,Logged GDP per capita - 2020,Social Support - 2020,Healthy Life Expectancy - 2020,Freedom to make life choices - 2020,Generocity - 2020,Perceptions of Corruption - 2020,Happiness Score - 2021,Logged GDP per capita - 2021,Social Support - 2021,Healthy Life Expectancy - 2021,Freedom to make life choices - 2021,Generocity - 2021,Perceptions of Corruption - 2021
Afghanistan,South Asia,2.5669000148773193,7.462860584259033,0.4703669548034668,52.59000015258789,0.396573007106781,-0.09642940014600754,0.9336865544319153,2.522900104522705,7.694709777832031,0.46259555220603943,52.49261474609375,0.3817485272884369,-0.10168354213237762,0.924338161945343
Albania,Central and Eastern Europe,4.882699966430664,9.417930603027344,0.6710704565048218,68.70813751220703,0.7819942235946655,-0.042309489101171494,0.8963037133216858,5.117400169372559,9.520496368408203,0.6974051594734192,68.9993896484375,0.7852362394332886,-0.02992146462202072,0.9010128974914551
Algeria,Middle East and North Africa,5.005099773406982,9.537964820861816,0.8033851385116577,65.9051742553711,0.4666109085083008,-0.12110516428947449,0.7354851365089417,4.8871002197265625,9.34237289428711,0.8019434213638306,66.00455474853516,0.4797153174877167,-0.06698665022850037,0.7518753409385681
Argentina,Latin America and Caribbean,5.974699974060059,9.810955047607422,0.9005679488182068,68.803802490234375,0.8311324119567871,-0.1949138641357422,0.8420098423957825,5.929299831390381,9.961631774902344,0.897523820400238,69.000152587890625,0.828485906124115,-0.18170379102230072,0.8339568376541138
Armenia,Commonwealth of Independent States,4.676799774169922,9.100476264953613,0.7574794292449951,66.75065612792969,0.712017834186554,-0.13877961039543152,0.7735447883605957,5.282599925994873,9.487374305725098,0.7990387082099915,67.055145263671875,0.8253329992294312,-0.1676464080810547,0.6294224262237549
Australia,North America and ANZ,7.222799777984619,10.720596313476563,0.9448546171188354,73.60453796386719,0.9154317378997803,0.19046016037464142,0.4151691198348999,7.183499813079834,10.795604705810547,0.9401491284370422,73.90009307861328,0.9136497378349304,0.1585298627614975,0.4422915577888489
Austria,Western Europe,7.2941999435424805,10.742823600769043,0.9280458688735962,73.00250244140625,0.8999894857406616,0.08542922139167786,0.49995487928390503,7.2677998542785645,10.906315803527832,0.9341755509376526,73.29972076416016,0.9076905846595764,0.04156827926635742,0.4813777804374695
Azerbaijan,Commonwealth of Independent States,5.16480016708374,9.687726974487305,0.8193082809448242,65.5083999633789,0.786824107170105,-0.24025528132915497,0.5525375604629517,5.17080020904541,9.56872844696045,0.8359205722808838,65.65584564208984,0.8141629099845886,-0.22254817187786102,0.5064712762832642
Bahrain,Middle East and North Africa,6.22730016708374,10.676380157470703,0.8763421177864075,68.5,0.9058557748794556,0.13372918963432312,0.7393471002578735,6.646900177001953,10.668610572814941,0.8616421818733215,69.49510192871094,0.9249880909919739,0.08911684900522232,0.7219851016998291
Bangladesh,South Asia,4.832799911499023,8.2870635986328125,0.6872929930686951,64.50306701660156,0.9006249904632568,-0.033664725720882416,0.6618435382843018,5.024600028991699,8.454228401184082,0.6933901309967041,64.79996490478516,0.877008318901062,-0.04134693741798401,0.6816807389259338
Belarus,Commonwealth of Independent States,5.539899826049805,9.779945373535156,0.9067474603652954,66.10433197021484,0.639163076877594,-0.16492654383182526,0.635711669921875,5.5335001945495605,9.853226661682129,0.909642219543457,66.25300598144531,0.6496435403823853,-0.1803240031003952,0.6266878247261047
Belgium,Western Europe,6.863500118255615,10.673639297485352,0.9116325378417969,72.00164794921875,0.8135820627212524,-0.07869119942188263,0.6122979521751404,6.834000110626221,10.823075294494629,0.9055314660072327,72.19942474365234,0.7833221554756165,-0.1533680558204651,0.6455837488174438
Benin,Sub-Saharan Africa,5.216000080108643,7.674319744110107,0.46867114305496216,54.31246566772461,0.7351825833320618,-0.0035372127313166857,0.7405325770378113,5.045199871063232,8.086958885192871,0.488511323928833,54.71274948120117,0.7574853897094727,-0.03380919247865677,0.6607150435447693
Bolivia,Latin America and Caribbean,5.747499942779541,8.851115226745605,0.8031086921691895,63.60047149658203,0.875873327255249,-0.09168113023042679,0.8226062059402466,5.71589994430542,9.045670509338379,0.8095972537994385,63.90121841430664,0.874642014503479,-0.07731892913579941,0.839005708694458
Bosnia and Herzegovina,Central and Eastern Europe,5.674099922180176,9.455817222595215,0.8292041420936584,67.808135986328125,0.6513527035713196,0.09827455878257751,0.9337691068649292,5.8130998611450195,9.590015411376953,0.8703864216804504,68.09849548339844,0.7063484787940979,0.11252003908157349,0.9312126040458679
Botswana,Sub-Saharan Africa,3.4788999557495117,9.711203575134277,0.7791217565536499,58.92445373535156,0.8213281035423279,-0.2503944933414459,0.7779309153556824,3.4665000438690186,9.781536102294922,0.7841714024543762,59.269187927246094,0.82439422607421875,-0.24615925550460815,0.8006190657615662
Brazil,Latin America and Caribbean,6.3755998611450195,9.566434860229492,0.8967238068580627,66.48016357421875,0.7998048067092896,-0.10181239247322083,0.7706012725830078,6.330100059509277,9.57730484008789,0.8815970420837402,66.60087585449219,0.804413914680481,-0.07104817032814026,0.7563974857330322
Bulgaria,Central and Eastern Europe,5.101500034332275,9.869318962097168,0.9378403425216675,66.8039779663086,0.7451781630516052,-0.14390844106674194,0.9355851411819458,5.265500068664551,10.015582084655762,0.9307728409767151,67.00025177001953,0.7878619432449341,-0.09649267792701721,0.9321166276931763
Burkina Faso,Sub-Saharan Africa,4.768700122833252,7.468544960021973,0.7129436135292053,53.88945388793945,0.6655635833740234,-0.019080515950918198,0.7397950291633606,4.833799839019775,7.678089618682861,0.6722585558891296,54.15081787109375,0.6945601105690002,-0.00861741229891777,0.7479232549667358
Burundi,Sub-Saharan Africa,3.7753000259399414,6.492642402648926,0.4903257191181183,53.400001525878906,0.6263502240180969,-0.017551597207784653,0.6069345474243164,3.7753000259399414,6.635322093963623,0.4903257191181183,53.400001525878906,0.6263502240180969,-0.023876165971159935,0.6069345474243164
Cambodia,Southeast Asia,4.848400115966797,8.249890327453613,0.7730806469917297,61.52996826171875,0.9597046375274658,0.05191117897629738,0.822769045829773,4.830399990081787,8.360370635986328,0.7645816206932068,62.000335693359375,0.9585790634155273,0.033952608704566956,0.8434561491012573
Cameroon,Sub-Saharan Africa,5.08489990234375,8.118647575378418,0.7003864049911499,52.70494079589844,0.7630518078804016,-0.001496450393460691,0.8513365983963013,5.1417999267578125,8.18909740447998,0.7096076011657715,53.51531219482422,0.7312072515487671,0.025644419714808464,0.8476269841194153
Canada,North America and ANZ,7.232100009918213,10.692368507385254,0.9271766543388367,73.60160064697266,0.9339132308959961,0.12477076798677444,0.39084336161613464,7.103300094604492,10.77612590789795,0.9261578917503357,73.7998046875,0.9146769642829895,0.0892951712012291,0.41468605399131775
Chad,Sub-Saharan Africa,4.422699928283691,7.467963695526123,0.6323880553245544,48.22053909301758,0.5873052477836609,0.017834719270467758,0.8027608394622803,4.355400085449219,7.364013195037842,0.6193000078201294,48.47800064086914,0.5786272883415222,0.04134179651737213,0.8069084286689758
Chile,Latin America and Caribbean,6.228499889373779,10.032054901123047,0.8797135949134827,69.90061950683594,0.7448962926864624,-0.06566836684942245,0.8382394313812256,6.171899795532227,10.071078300476074,0.8822913765907288,70.0000228881836,0.7415035963058472,-0.044292550534009933,0.8303554058074951
China,East Asia,5.123899936676025,9.688568115234375,0.7987605929374695,69.28919219970703,0.898517906665802,-0.18142575025558472,0.7539710998535156,5.339099884033203,9.6731719970703125,0.8108290433883667,69.5934066772461,0.9042927026748657,-0.1459076851606369,0.755388617515564
Colombia,Latin America and Caribbean,6.163400173187256,9.50036907196045,0.8844402432441711,67.6995849609375,0.8361799120903015,-0.16123564541339874,0.8645718097686768,6.012400150299072,9.557000160217285,0.8468530178070068,68.001373291015625,0.8369866609573364,-0.13479644060134888,0.8408741354942322
Comoros,Sub-Saharan Africa,4.288599967956543,7.833630084991455,0.6256624460220337,57.3490104675293,0.5476126074790955,0.09000840783119202,0.7806226015090942,4.288599967956543,8.030753135681152,0.6256624460220337,57.3490104675293,0.5476126074790955,0.08156636357307434,0.7806226015090942
Congo (Brazzaville),Sub-Saharan Africa,5.194399833679199,8.5369873046875,0.6402280926704407,57.92448043823242,0.7190585136413574,-0.12367409467697144,0.7517790794372559,5.341700077056885,8.117217063903809,0.6364794373512268,58.220947265625,0.6947336792945862,-0.06753960251808167,0.7446727156639099
Costa Rica,Latin America and Caribbean,7.121399879455566,9.658156394958496,0.9015459418296814,71.29985046386719,0.9347389340400696,-0.10242971032857895,0.7863324284553528,7.069399833679199,9.879919052124023,0.8913084864616394,71.3999252319336,0.9344320297241211,-0.12646888196468353,0.8087530136108398
Croatia,Central and Eastern Europe,5.504700183868408,10.07087516784668,0.874623715877533,70.21490478515625,0.7148388028144836,-0.1285383254289627,0.9164952635765076,5.881700038909912,10.21720027923584,0.9235941171646118,70.79936981201172,0.7536758780479431,-0.1176806166768074,0.9393432140350342
Cyprus,Western Europe,6.158999919891357,10.405702590942383,0.8059962391853333,73.70222473144531,0.7798582911491394,0.04373149573802948,0.8562717437744141,6.223499774932861,10.57603645324707,0.8022973537445068,73.89753723144531,0.7630279064178467,-0.014914353378117085,0.8441770076751709
Czech Republic,Central and Eastern Europe,6.910900115966797,10.404163360595703,0.9144306778907776,70.04793548583984,0.8185373544692993,-0.23086151480674744,0.8584462404251099,6.964700222015381,10.556146621704102,0.9465022087097168,70.80664825439453,0.858412504196167,-0.20834200084209442,0.8677807450294495
Denmark,Western Europe,7.645599842071533,10.774001121520996,0.9559907913208008,72.40250396728516,0.9514442682266235,0.06620177626609802,0.1684894561767578,7.619500160217285,10.933176040649414,0.9544095396995544,72.69975280761719,0.9456385374069214,0.030108893290162086,0.17883844673633575
Dominican Republic,Latin America and Caribbean,5.689199924468994,9.664880752563477,0.882085382938385,65.80748748779297,0.8662027716636658,-0.13126328587532043,0.7559999227523804,5.545100212097168,9.802362442016602,0.8528887629508972,66.10197448730469,0.8595534563064575,-0.13328588008880615,0.7141715288162231
Ecuador,Latin America and Caribbean,5.92519998550415,9.246058464050293,0.8364189863204956,68.50003814697266,0.8598289489746094,-0.12701496481895447,0.8012151122093201,5.763999938964844,9.312904357910156,0.8205147385597229,68.79994201660156,0.8421871662139893,-0.12367477267980576,0.8425045609474182
Egypt,Middle East and North Africa,4.151400089263916,9.31654167175293,0.7354478240013123,61.7801513671875,0.7083541750907898,-0.1968783140182495,0.787726879119873,4.282700061798096,9.366633415222168,0.7497766613960266,61.99771499633789,0.7485634684562683,-0.18211384117603302,0.794777512550354
El Salvador,Latin America and Caribbean,6.348299980163574,8.909075736999512,0.8060922622680664,66.10826110839844,0.83380526304245,-0.12107297778129578,0.7543199062347412,6.060500144958496,9.05385684967041,0.7620758414268494,66.40190124511719,0.8875650763511658,-0.11026214063167572,0.6882754564285278
Estonia,Central and Eastern Europe,6.0218000411987305,10.340017318725586,0.9347299933433533,68.6049575805664,0.877709150314331,-0.11169777065515518,0.6230738162994385,6.188799858093262,10.481181144714355,0.9414528608322144,68.79991149902344,0.9087128043174744,-0.10619337856769562,0.5266488194465637
Ethiopia,Sub-Saharan Africa,4.186200141906738,7.509385585784912,0.74330735206604,58.639591217041016,0.7407951951026917,0.043377332389354706,0.7536900043487549,4.274700164794922,7.693592548370361,0.7638999223709106,58.99952697753906,0.7521147727966309,0.08200153708457947,0.7605333924293518
Finland,Western Europe,7.808700084686279,10.639266967773438,0.9543297290802002,71.90082550048828,0.9491721987724304,-0.059482019394636154,0.19544458389282227,7.842100143432617,10.775201797485352,0.9536033868789673,72,0.9492678642272949,-0.09776027500629425,0.1858457326889038
France,Western Europe,6.66379976272583,10.584222793579102,0.9371037483215332,73.80193328857422,0.8254676461219788,-0.13064196705818176,0.5835211277008057,6.689899921417236,10.703892707824707,0.9423473477363586,73.99979400634766,0.8218606114387512,-0.14651916921138763,0.5707479119300842
Gabon,Sub-Saharan Africa,4.8292999267578125,9.680537223815918,0.7878868579864502,59.71533966064453,0.704829216003418,-0.22226162254810333,0.8491509556770325,4.851799964904785,9.60301685333252,0.7764019966125488,59.96162414550781,0.7305527925491333,-0.19985777139663696,0.8395736217498779
Gambia,Sub-Saharan Africa,4.7505998611450195,7.32181453704834,0.6931686997413635,55.01201629638672,0.7331631779670715,0.3431987166404724,0.6907178163528442,5.051000118255615,7.685917854309082,0.6896220445632935,55.160160064697266,0.6970475912094116,0.42415475845336914,0.7459676265716553
Georgia,Commonwealth of Independent States,4.672599792480469,9.22610092163086,0.6290330290794373,64.495208740234375,0.8016415238380432,-0.2289203703403473,0.6659446954727173,4.89139986038208,9.584575653076172,0.6711152195930481,64.30001068115234,0.7826029658317566,-0.23844508826732635,0.654995858669281
Germany,Western Europe,7.075799942016602,10.732818603515625,0.8988744616508484,72.20201873779297,0.8673710823059082,0.08017938584089279,0.45642203092575073,7.1545000076293945,10.872547149658203,0.9031664729118347,72.5000991821289,0.8751699328422546,0.010640330612659454,0.460144966840744
Ghana,Sub-Saharan Africa,5.1479997634887695,8.350645065307617,0.7286010980606079,57.20398712158203,0.7947965264320374,0.09417085349559784,0.8479647636413574,5.088399887084961,8.580243110656738,0.7267570495605469,57.58634567260742,0.8065050840377808,0.12335524708032608,0.8481913805007935
Greece,Western Europe,5.514999866485596,10.132326126098633,0.8143803477287292,72.40525817871094,0.5413451194763184,-0.3009073734283447,0.8599314093589783,5.722599983215332,10.278793334960937,0.8227670788764954,72.60015106201172,0.5817652940750122,-0.2881526052951813,0.8231480121612549
Guatemala,Latin America and Caribbean,6.398900032043457,8.924805641174316,0.8166214823722839,64.80894470214844,0.9081475734710693,-0.04293866455554962,0.7832374572753906,6.434500217437744,9.053407669067383,0.8132908344268799,64.95813751220703,0.9058154821395874,-0.03760077431797981,0.7753238677978516
Guinea,Sub-Saharan Africa,4.9492998123168945,7.750990390777588,0.6375734806060791,54.46780014038086,0.7068467736244202,0.07632847130298615,0.7617944478988647,4.984300136566162,7.83774995803833,0.639484167098999,55.00819778442383,0.6972144246101379,0.09467919170856476,0.7660537958145142
Haiti,Latin America and Caribbean,3.7207999229431152,7.41132926940918,0.5932478308677673,55.59862518310547,0.5378251671791077,0.40053457021713257,0.6847672462463379,3.6149001121520996,7.477138042449951,0.5395039319992065,55.70000076293945,0.5933555960655212,0.4215203523635864,0.7210492491722107
Honduras,Latin America and Caribbean,5.953199863433838,8.424534797668457,0.8218701481819153,67.19876861572266,0.8706032633781433,0.08696911484003067,0.8011319041252136,5.9191999435424805,8.648223876953125,0.8119232058525085,67.29987335205078,0.8570315837860107,0.08098253607749939,0.8087548017501831
Hong Kong S.A.R. of China,East Asia,5.51039981842041,10.934671401977539,0.8459690809249878,76.7717056274414,0.7798337936401367,0.13497990369796753,0.42060720920562744,5.4766998291015625,11.000312805175781,0.8357810974121094,76.8200912475586,0.7168079614639282,0.06734424829483032,0.4026504456996918
Hungary,Central and Eastern Europe,6.000400066375732,10.24924373626709,0.9219341278076172,67.60997009277344,0.7189645767211914,-0.19432301819324493,0.8929165005683899,5.991600036621094,10.358233451843262,0.9434720277786255,68.00016784667969,0.7549257278442383,-0.18617792427539825,0.8761805295944214
Iceland,Western Europe,7.504499912261963,10.77255916595459,0.9746695756912231,73,0.9488918781280518,0.24694421887397766,0.71170973777771,7.553899765014648,10.877767562866211,0.9829378724098206,73,0.9551227688789368,0.16027399897575378,0.6728646755218506
India,South Asia,3.5732998847961426,8.849823951721191,0.5922009348869324,60.215187072753906,0.8814448714256287,0.057551607489585876,0.7720426917076111,3.8189001083374023,8.755183219909668,0.6029612421989441,60.632999420166016,0.8931295871734619,0.08932670205831528,0.7737091183662415
Indonesia,Southeast Asia,5.285600185394287,9.369751930236816,0.8083798885345459,62.15584945678711,0.8706144094467163,0.5195865035057068,0.8762964010238647,5.3445000648498535,9.364790916442871,0.8114106059074402,62.23636245727539,0.8728774189949036,0.5415529608726501,0.8673139214515686
Iran,Middle East and North Africa,4.672399997711182,9.813719749450684,0.6946896910667419,66.00614929199219,0.6478732824325562,0.1178911030292511,0.714635968208313,4.721199989318848,9.58437442779541,0.7100515961647034,66.30035400390625,0.6075012683868408,0.2184768170118332,0.7141964435577393
Iraq,Middle East and North Africa,4.784800052642822,9.66109561920166,0.7476949691772461,59.90354919433594,0.6331826448440552,-0.06956475973129272,0.8222618103027344,4.854100227355957,9.240058898925781,0.7456973791122437,60.583316802978516,0.6297644376754761,-0.053082242608070374,0.8752124905586243
Ireland,Western Europe,7.093699932098389,11.160978317260742,0.9420815706253052,72.30078887939453,0.8869829773902893,0.14578497409820557,0.35718417167663574,7.085299968719482,11.342286109924316,0.9472292065620422,72.39998626708984,0.8793568015098572,0.07718856632709503,0.36315593123435974
Israel,Middle East and North Africa,7.128600120544434,10.417525291442871,0.9135712385177612,73.20025634765625,0.7475805878639221,0.10259371995925903,0.7808550596237183,7.157100200653076,10.57475757598877,0.9392313361167908,73.50325775146484,0.8000268936157227,0.030681880190968513,0.7531108856201172
Italy,Western Europe,6.387400150299072,10.481836318969727,0.8898785710334778,73.6016845703125,0.6646519899368286,-0.04346099868416786,0.8734046816825867,6.483099937438965,10.62289810180664,0.879959225654602,73.800048828125,0.6929126381874084,-0.08422919362783432,0.8657403588294983
Ivory Coast,Sub-Saharan Africa,5.23330020904541,8.225561141967773,0.658048689365387,49.5037727355957,0.7279093265533447,-0.04399115592241287,0.7907719612121582,5.306000232696533,8.551093101501465,0.6440978646278381,50.11359786987305,0.74146270751953125,-0.016492072492837906,0.7944678664207458
Jamaica,Latin America and Caribbean,5.889800071716309,9.006250381469727,0.9157018661499023,67.0999984741211,0.8580685257911682,-0.12510676681995392,0.8888900279998779,6.309199810028076,9.186201095581055,0.8765021562576294,67.5,0.8895829319953918,-0.13679705560207367,0.8844091892242432
Japan,East Asia,5.870800018310547,10.579689025878906,0.8835459351539612,75.00096893310547,0.8099613785743713,-0.24691034853458405,0.6545580625534058,5.940499782562256,10.611433982849121,0.8839415311813354,75.1004409790039,0.7957438826560974,-0.2581944167613983,0.6378864049911499
Jordan,Middle East and North Africa,4.633399963378906,9.025999069213867,0.8021637201309204,66.79975128173828,0.7510477900505066,-0.1625652015209198,0.7003443241119385,4.394599914550781,9.18210506439209,0.7668236494064331,67.00030517578125,0.7552774548530579,-0.16678906977176666,0.7046573758125305
Kazakhstan,Commonwealth of Independent States,6.0578999519348145,10.11465835571289,0.9347448945045471,64.6099624633789,0.8116019368171692,-0.06848863512277603,0.7644908428192139,6.151800155639648,10.154766082763672,0.95210862159729,65.199859619140625,0.8525170087814331,-0.06944605708122253,0.7330804467201233
Kenya,Sub-Saharan Africa,4.583000183105469,8.029775619506836,0.7026520371437073,60.09693145751953,0.8297475576400757,0.29468151926994324,0.8314991593360901,4.606599807739258,8.36077880859375,0.6880660653114319,60.70405197143555,0.7785444855690002,0.2868662476539612,0.8254486322402954
Kosovo,Central and Eastern Europe,6.325200080871582,9.204429626464844,0.8207265138626099,63.885555267333984,0.861535906791687,0.19093376398086548,0.9223282933235168,6.372000217437744,9.318236351013184,0.8209583759307861,63.812744140625,0.8689715266227722,0.25741687417030334,0.9174878597259521
Kuwait,Middle East and North Africa,6.102099895477295,11.089824676513672,0.8464752435684204,66.76764678955078,0.8723664879798889,-0.10018470138311386,0.7608490586280823,6.106100082397461,10.816696166992188,0.8427844047546387,66.9000015258789,0.8670896291732788,-0.10416107624769211,0.7362381219863892
Kyrgyzstan,Commonwealth of Independent States,5.541500091552734,8.148405075073242,0.8872284889221191,64.10601043701172,0.9093748927116394,0.1547720581293106,0.8883960843086243,5.743599891662598,8.538470268249512,0.8933833241462708,64.4006118774414,0.9345319867134094,0.11930427700281143,0.9077425599098206
Laos,Southeast Asia,4.888599872589111,8.798580169677734,0.7375022172927856,58.709922790527344,0.907213568687439,0.1113714799284935,0.6346793174743652,5.03000020980835,8.947352409362793,0.7279734015464783,58.968135833740234,0.9100531339645386,0.12314454466104507,0.6581959128379822
Latvia,Central and Eastern Europe,5.949999809265137,10.17531967163086,0.9182885885238647,66.807464599609375,0.6712376475334167,-0.18688884377479553,0.7955800890922546,6.0320000648498535,10.314775466918945,0.9274994134902954,67.1001968383789,0.7145545482635498,-0.1620119959115982,0.7997939586639404
